trend_id,category,style,popularity_score,season,color_palette,fabric_type,price_range,brand_influence,social_media_trend
T0001,Dress,Casual,82,Autumn,Pastel,Cotton,Mid-range,Luxury,Pinterest
T0002,Dress,Vintage,22,Spring,Neon,Denim,Mid-range,Luxury,TikTok
T0003,Shirt,Minimalist,1,Autumn,Gradient,Wool,Affordable,Fast Fashion,Pinterest
T0004,Shirt,Bohemian,18,Summer,Pastel,Cotton,Mid-range,Luxury,TikTok
T0005,Shirt,Minimalist,98,Spring,Neon,Linen,High-end,Local,Pinterest
T0006,Dress,Casual,20,Autumn,Neon,Polyester,Affordable,Local,Instagram
T0007,Shoes,Streetwear,50,Autumn,Earth-tone,Linen,Mid-range,High-end,YouTube
T0008,Accessories,Minimalist,23,Summer,Pastel,Velvet,Mid-range,Fast Fashion,TikTok
T0009,Shirt,Minimalist,84,Summer,Gradient,Cotton,Mid-range,Luxury,Instagram
T0010,Shoes,Sporty,51,Summer,Pastel,Denim,High-end,Local,TikTok
T0011,Shirt,Sporty,96,Summer,Gradient,Polyester,Affordable,Local,Pinterest
T0012,Pants,Streetwear,38,Summer,Pastel,Linen,High-end,Luxury,Instagram
T0013,Dress,Sporty,22,Spring,Pastel,Cotton,Affordable,High-end,TikTok
T0014,Shirt,Formal,33,Winter,Gradient,Linen,Mid-range,High-end,Pinterest
T0015,Pants,Bohemian,80,Winter,Neon,Velvet,High-end,Luxury,Pinterest
T0016,Dress,Casual,92,Autumn,Earth-tone,Denim,Affordable,Fast Fashion,YouTube
T0017,Dress,Casual,81,Winter,Monochrome,Velvet,Affordable,Local,Instagram
T0018,Dress,Bohemian,62,Summer,Monochrome,Polyester,Affordable,Luxury,YouTube
T0019,Shirt,Formal,86,Summer,Pastel,Denim,High-end,High-end,TikTok
T0020,Dress,Vintage,94,Spring,Metallic,Wool,High-end,High-end,TikTok
T0021,Accessories,Casual,20,Winter,Monochrome,Denim,Mid-range,Local,Pinterest
T0022,Dress,Bohemian,13,Summer,Metallic,Linen,High-end,High-end,TikTok
T0023,Accessories,Minimalist,39,Winter,Earth-tone,Velvet,High-end,Local,TikTok
T0024,Shirt,Vintage,65,Spring,Earth-tone,Wool,Mid-range,Luxury,TikTok
T0025,Shirt,Minimalist,72,Spring,Earth-tone,Polyester,Mid-range,High-end,YouTube
T0026,Shoes,Formal,2,Summer,Neon,Linen,Mid-range,Local,Instagram
T0027,Accessories,Streetwear,98,Winter,Gradient,Denim,Mid-range,Local,Instagram
T0028,Dress,Streetwear,33,Summer,Gradient,Linen,Affordable,Luxury,YouTube
T0029,Accessories,Minimalist,3,Autumn,Monochrome,Denim,Mid-range,Luxury,Instagram
T0030,Pants,Bohemian,100,Winter,Gradient,Denim,Affordable,Fast Fashion,YouTube
T0031,Accessories,Casual,85,Summer,Pastel,Velvet,High-end,Local,Pinterest
T0032,Dress,Minimalist,65,Summer,Pastel,Velvet,Mid-range,High-end,Instagram
